trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
81,False,"{'a': 0.5, 'e': 0.4448580662229411}",20,0,-93.34651526586192,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
82,False,"{'a': 0.5, 'e': 0.44043165450599925}",25,16,16.71598824518225,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.43604928632153556}",20,14,-6.950628853272402,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.43171052342907973}",30,7,-25.076849596136356,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 1}",1
85,False,"{'a': 0.5, 'e': 0.4274149319487267}",25,11,-56.41471025183088,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 2}",1
86,False,"{'a': 0.5, 'e': 0.4231620823177488}",25,0,-15.296590065319673,"{0: 21, 1: 2, 2: 1, 3: 1, 4: 0}",0
87,False,"{'a': 0.5, 'e': 0.418951549247639}",20,0,-30.040769668523005,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
88,False,"{'a': 0.5, 'e': 0.4147829116815814}",25,15,-3.0595427889232676,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
89,False,"{'a': 0.5, 'e': 0.4106557527523455}",25,8,-79.94326107542611,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 2}",1
90,False,"{'a': 0.5, 'e': 0.4065696597405991}",25,14,-3.4523086537404475,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.40252422403363597}",30,0,-160.69410125007445,"{0: 17, 1: 5, 2: 4, 3: 2, 4: 2}",0
92,False,"{'a': 0.5, 'e': 0.39851904108451414}",25,12,1.213482078543384,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.3945537103716011}",25,17,13.735758890764865,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.3906278353585211}",25,13,10.185036801023603,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.3867410234545012}",20,0,-37.16859451894918,"{0: 15, 1: 4, 2: 0, 3: 0, 4: 1}",0
96,False,"{'a': 0.5, 'e': 0.38289288597511206}",25,11,0.8824249962951709,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
97,False,"{'a': 0.5, 'e': 0.37908303810339883}",20,3,23.473580815810113,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.5, 'e': 0.37531109885139957}",25,0,-55.47295251525408,"{0: 20, 1: 0, 2: 2, 3: 3, 4: 0}",0
